23.88,4.07,10.75,15.77,13,100.58
46.99,0.48,11.22,9.22,23,216.41
21.08,-2.45,12.83,16.58,12,71.37
36.83,2.07,12.23,9.91,16,198.37
49.02,2.84,11.93,11.94,18,199.9
52.83,9.49,11.64,8.64,24,263.14
84.58,12.09,10.23,10.22,18,292.61
112.52,15.59,11.02,11.49,17,479.55
30.48,19.41,13.23,14.1,7,61.98
61.21,18.94,8.51,11.39,18,164.08
15.49,15.04,8.24,14.74,11,80.01
39.12,9.79,8.68,17.49,11,88.9
39.12,6.24,9.57,15.34,8,86.36
13.21,-0.23,10.88,21.2,4,19.56
15.49,-3.23,10.48,13.92,16,105.92
32,1.14,11.16,15.29,14,143
13.21,3.58,10.75,15.61,14,66.8
39.62,9.56,11.62,14.24,22,280.42
68.33,12.84,11.17,14.02,19,380.24
138.18,15.5,8.17,11.67,16,352.81
41.91,18.02,9.86,14.21,16,234.95
87.38,17.68,8.2,9.51,19,270
15.49,13.6,8.45,10.03,15,61.21
3.3,8.31,7.89,19.14,4,6.1
41.4,6.48,8.28,19.79,11,117.35
12.19,1.09,9.53,16.98,10,48.01
24.13,-3.26,10.85,16.43,16,99.31
51.05,-0.11,11.05,9.85,21,202.95
28.19,1.38,12.09,14.55,17,120.9
50.29,10.33,10.63,15.11,13,179.83
51.05,12.93,9.7,9.95,19,240.03
56.13,17.56,8.74,13.5,14,146.81
71.37,18.0,12.99,9.03,13,234.19
88.65,17.32,9.93,8.08,21,296.42
54.86,16.27,7.86,9.99,12,184.4
44.2,9.71,8.98,17.4,11,143
27.18,5.64,9.75,13.24,17,146.3
13.72,-2.81,12.2,20.36,12,40.64
29.72,-0.12,10.41,11.78,17,139.19
40.64,-0.75,11.71,11.27,20,142.24
31.24,3.61,10.96,14.9,13,80.77
36.83,9.64,12.66,11.2,16,223.52
80.52,12.56,10.44,14.07,19,341.38
31.75,15.89,10.41,11.17,19,190.75
51.31,18.39,11.62,7.32,20,269.75
27.69,18.43,7.84,14.34,10,117.35
33.78,13.65,7.51,12.05,16,133.6
16,11.81,5.74,12.39,11,56.39
24.13,6.19,9.07,13.84,14,123.7
5.84,1.21,9.81,18.78,10,20.83
17.78,-2.59,11.05,14.47,17,76.71
19.56,3.43,11.8,16.06,16,93.47
61.98,4.2,10.87,13.02,20,189.99
58.67,6.73,10.54,15.58,21,250.44
37.34,14.62,11.08,16.22,12,98.55
44.96,16.17,9.14,7.74,20,265.43
102.87,18.57,12.47,9.16,15,377.19
81.79,18.3,9.06,12.96,18,283.46
77.98,13.92,9.11,9.69,15,216.15
102.62,10.17,8.79,16.21,12,144.27
9.4,5.57,9.25,23.72,6,20.57
13.21,0.81,11.02,13.76,19,105.66
29.72,-2.48,8.04,9.83,19,124.97
23.11,-3.98,9.72,20.18,10,50.55
16,4.81,10.86,18.7,19,90.93
35.05,9.07,10.82,12.57,19,124.21
71.88,13.48,9.62,17.16,13,176.28
88.65,15.66,9.01,9.24,23,527.81
153.16,18.28,10.87,8.88,20,651.76
25.91,17.62,9.34,8.77,18,178.82
33.78,15.68,7.6,11.18,14,89.15
26.42,10.98,7.55,13.52,14,113.28
78.74,3.18,10.42,17.75,12,164.85
10.41,0.39,11.46,23.14,10,30.99
8.89,-2.53,12.29,19.76,11,31.5
57.4,4.66,12.62,7.21,20,307.34
25.4,3.66,10.76,14.63,19,172.72
80.77,8.64,10.07,19.44,14,308.86
54.86,13.24,9.14,18.85,15,316.23
67.56,16.84,9.64,16.85,18,269.49
75.69,18.48,9.6,14.27,14,395.22
164.59,18.27,8.47,11.68,22,516.64
48.77,15.98,6.91,11.39,11,122.68
5.08,10.51,8.98,21.48,7,18.8
37.85,3.93,11.1,17.98,13,120.9
14.99,-0.89,11.91,17.04,15,86.36
15.75,1.04,10.77,15.82,17,84.84
36.58,1.84,10.26,9.29,20,201.17
56.64,4.25,12.96,13.97,19,360.17
68.58,6.84,11.6,15.26,20,329.18
59.44,13.42,8.32,14.56,21,223.77
41.15,14.52,7.01,8.34,19,140.21
74.68,18.37,10.81,5.5,22,487.93
51.82,19.03,7.02,14.44,12,161.8
